Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
68,CCAFS,Nusantara Satu,"4,850 kg",GTO,Sky Perfect JSAT,"Success
",F9 B5B1048.3,Success,68,68
69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,SpaceX,"Success
",F9 B5[268],Success,69,69
70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",F9 B5,"No attempt
",70,70
71,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
",F9 B5B1049.3,Success,71,71
72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,SpaceX,"Success
",F9 B5B1051.2,Failure,72,72
73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
",F9 B5B1056.2,Success,73,73
74,CCAFS,AMOS-17,"6,500 kg",GTO,SpaceX,"Success
",F9 B5B1047.3,Failure,74,74
75,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,75,75
76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",F9 B5,Success,76,76
77,CCAFS,JCSat-18,"6,956 kg",GTO,SpaceX,"Success
",F9 B5B1056.3,Success,77,77
78,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,78,78
79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,U.S. Space Force,"Success
",F9 B5,Success,79,79
80,CCAFS,Starlink,"15,600 kg",LEO,Republic of Korea Army,"Success
",F9 B5,Success,80,80
81,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,81,81
82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,SpaceX,"Success
",F9 B5,Success,82,82
83,KSC,Starlink,"15,600 kg",LEO,CONAE,"Success
",F9 B5,Success,83,83
84,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,84,84
85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,SpaceX,"Success
",F9 B5,Success,85,85
86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,86,86
87,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",F9 B5,Success,87,87
88,CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",F9 B5,Success,88,88
89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,NASA,"Success
",F9 B5B1058.2,Success,89,89
90,KSC,Starlink,"14,932 kg",LEO,NASA,"Success
",F9 B5,Success,90,90
91,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",F9 B5B1049.6,Success,91,91
92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,NASA,"Success
",F9 B5,Success,92,92
93,KSC,Starlink,"15,600 kg",LEO,Sirius XM,"Success
",F9 B5B1060.2,Success,93,93
94,KSC,Starlink,"15,600 kg",LEO,NRO,"Success
",F9 B5B1058.3,Success,94,94
95,KSC,Starlink,"15,600 kg",LEO,Türksat,"Success
",F9 B5B1051.6,Success,95,95
96,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,96,96
97,CCAFS,GPS III,"4,311 kg",MEO,SpaceX,"Success
",F9 B5,Failure,97,97
98,KSC,Crew-1,"~12,500 kg",LEO,NASA,Success,F9 B5,Failure,98,98
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,Success,F9 B5,"No attempt
",99,99
100,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5 ♺,No attempt,100,100
101,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",F9 B5 ♺,"No attempt
",101,101
102,CCSFS,SXM-7,"7,000 kg",GTO,MDA,Success,F9 B5 ♺,Uncontrolled,102,102
103,KSC,NROL-108,C,LEO,SES,Success,F9 B5 ♺,No attempt,103,103
104,CCSFS,Türksat 5A,"3,500 kg",GTO,Thaicom,Success,F9 B5,No attempt,104,104
105,KSC,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5B1051.8,Controlled,105,105
106,CCSFS,Transporter-1,"~5,000 kg",SSO,Orbcomm,Success,F9 B5B1058.5,Controlled,106,106
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,AsiaSat,Success,F9 v1.0B0003.1,No attempt,1,1
2,CCAFS,Dragon,0,LEO,AsiaSat,Success,F9 v1.0B0004.1,"No attempt
",2,2
3,CCAFS,Dragon,525 kg,LEO,NASA,Success,F9 v1.0B0005.1,Uncontrolled,3,3
4,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,Success,F9 v1.0B0006.1,Failure ,4,4
5,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,USAF,"Success
",F9 v1.0B0007.1,Controlled,5,5
6,VAFB,CASSIOPE,500 kg,Polar orbit,ABS,"Success
",F9 v1.1B1003,No attempt,6,6
7,CCAFS,SES-8,"3,170 kg",GTO,NASA,"Success
",F9 v1.1,Failure,7,7
8,CCAFS,Thaicom 6,"3,325 kg",GTO,,"Success
",F9 v1.1,No attempt,8,8
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,Failure,F9 v1.1,Precluded,9,9
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,"Success
",F9 v1.1,Success,10,10
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,NASA,"Success
",F9 v1.1,Failure,11,11
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,SES,"Success
",F9 v1.1,Failure,12,12
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,F9 v1.1,Success,13,13
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,SKY Perfect JSAT Group,"Success
",F9 v1.1,Success,14,14
15,Cape Canaveral,DSCOVR,570 kg,HEO,Thaicom,"Success
",F9 v1.1,Success,15,15
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",F9 v1.1,Failure,16,16
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",F9 v1.1,Success,17,17
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 v1.1,Success,18,18
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,Iridium Communications,"Success
",F9 v1.1,Success,19,19
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,NASA,"Success
",F9 FT,Success,20,20
21,VAFB,Jason-3,553 kg,LEO,EchoStar,"Success
",F9 v1.1,No attempt,21,21
22,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,Success,F9 FT,Success,22,22
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NRO,"Success
",F9 FT,Success,23,23
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,Inmarsat,"Success
",F9 FT,No attempt,24,24
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,NASA,"Success
",F9 FT,Success,25,25
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,Bulsatcom,"Success
",F9 FT,Success,26,26
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,Iridium Communications,"Success
",F9 FT,Success,27,27
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,Intelsat,"Success
",F9 FT,No attempt,28,28
29,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",F9 FT,Success,29,29
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,NSPO,"Success
",F9 FT,Success,30,30
31,KSC,EchoStar 23,"5,600 kg",GTO,USAF,"Success
",F9 FT,Success,31,31
32,KSC,SES-10,"5,300 kg",GTO,Iridium Communications,"Success
",F9 FT♺,Success,32,32
33,KSC,NROL-76,C,LEO,SES S.A.,"Success
",F9 FT,Success,33,33
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,KT Corporation,"Success
",F9 FT,Success,34,34
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",F9 FT,Success,35,35
36,KSC,BulgariaSat-1,"3,669 kg",GTO,Iridium Communications,Success,F9 FTB1029.2,Controlled,36,36
37,VAFB,Iridium NEXT,"9,600 kg",LEO,Northrop Grumman,Success,F9 FT,Success,37,37
38,KSC,Intelsat 35e,"6,761 kg",GTO,SES,Success,F9 FT,Controlled,38,38
39,KSC,SpaceX CRS-12,"3,310 kg",LEO,Hisdesat,Success,F9 B4,No attempt,39,39
40,VAFB,Formosat-5,475 kg,SSO,Hispasat,Success,F9 FT,No attempt,40,40
41,KSC,Boeing X-37B,"4,990 kg",LEO,Iridium Communications,Success,F9 B4,No attempt,41,41
42,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,Success,F9 B4,No attempt,42,42
43,KSC,SES-11,"5,200 kg",GTO,NASA,Success,F9 FTB1031.2,Success,43,43
44,KSC,Koreasat 5A,"3,500 kg",GTO,Thales-Alenia,Success,F9 B4,Success,44,44
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,Iridium Communications,Success,F9 FTB1035.2,No attempt,45,45
46,VAFB,Iridium NEXT,"9,600 kg",Polar,SES,Success,F9 FTB1036.2,No attempt,46,46
47,CCAFS,Zuma,C,LEO,NASA,Success,F9 B4,No attempt,47,47
48,CCAFS,GovSat-1,"4,230 kg",GTO,Telesat,Success,F9 FTB1032.2,Success,48,48
49,VAFB,Paz,"2,150 kg",SSO,Iridium Communications,Success,F9 FTB1038.2,Success,49,49
50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Telkom Indonesia,Success,F9 B4,Success,50,50
51,VAFB,Iridium NEXT,"9,600 kg",Polar,Telesat,Success,F9 B4B1041.2,Success,51,51
52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,CONAE,Success,F9 B4B1039.2,Success,52,52
53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,Es'hailSat,Success,F9 B4,Success,53,53
54,KSC,Bangabandhu-1,"3,600 kg",GTO,Spaceflight Industries,Success,F9 B5B1046.1,Success,54,54
55,VAFB,Iridium NEXT,"6,460 kg",Polar,NASA,"Success
",F9 B4B1043.2,Failure,55,55
56,CCAFS,SES-12,"5,384 kg",GTO,USAF,Success,F9 B4B1040.2,No attempt,56,56
57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,Iridium Communications,"Success
",F9 B4B1045.2,Success,57,57
58,CCAFS,Telstar 19V,"7,075 kg",GTO,PSN,"Success
",F9 B5,Success,58,58
59,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",F9 B5B1048,Success,59,59
60,CCAFS,Merah Putih,"5,800 kg",GTO,NASA,"Success
",F9 B5B1046.2,Success,60,60
61,CCAFS,Telstar 18V,"7,060 kg",GTO,SpaceX,"Success
",F9 B5,Success,61,61
62,VAFB,SAOCOM 1A,"3,000 kg",SSO,Canadian Space Agency,"Success
",F9 B5B1048.2,Success,62,62
63,KSC,Es'hail 2,"5,300 kg",GTO,NASA,"Success
",F9 B5B1047.2,Success,63,63
64,VAFB,SSO-A,"~4,000 kg",SSO,Spacecom,"Success
",F9 B5B1046.3,No attempt,64,64
65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,SpaceX,"Success
",F9 B5,Success,65,65
66,CCAFS,GPS III,"4,400 kg",MEO,NASA,"Success
",F9 B5,Success,66,66
67,VAFB,Iridium NEXT,"9,600 kg",Polar,Sky Perfect JSAT,"Success
",F9 B5B1049.2,Success,67,67
68,CCAFS,Nusantara Satu,"4,850 kg",GTO,SpaceX,"Success
",F9 B5B1048.3,Success,68,68
69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",F9 B5[268],"No attempt
",69,69
70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,SpaceX,"Success
",F9 B5,Success,70,70
71,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
",F9 B5B1049.3,Failure,71,71
72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,NASA,"Success
",F9 B5B1051.2,Success,72,72
73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,SpaceX,"Success
",F9 B5B1056.2,Failure,73,73
74,CCAFS,AMOS-17,"6,500 kg",GTO,SpaceX,"Success
",F9 B5B1047.3,Success,74,74
75,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,Success,75,75
76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,SpaceX,"Success
",F9 B5,Success,76,76
77,CCAFS,JCSat-18,"6,956 kg",GTO,SpaceX,"Success
",F9 B5B1056.3,Success,77,77
78,CCAFS,Starlink,"15,600 kg",LEO,U.S. Space Force,"Success
",F9 B5,Success,78,78
79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,Republic of Korea Army,"Success
",F9 B5,Success,79,79
80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,80,80
81,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,81,81
82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,CONAE,"Success
",F9 B5,Success,82,82
83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,83,83
84,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,84,84
85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,SpaceX,"Success
",F9 B5,Success,85,85
86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,86,86
87,CCAFS,Starlink,"15,410 kg",LEO,USSF,"Success
",F9 B5,Success,87,87
88,CCAFS,GPS III,"4,311 kg",MEO,NASA,"Success
",F9 B5,Success,88,88
89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,NASA,"Success
",F9 B5B1058.2,Success,89,89
90,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",F9 B5,Success,90,90
91,CCAFS,Starlink,"~15,440 kg",LEO,NASA,"Success
",F9 B5B1049.6,Success,91,91
92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,Sirius XM,"Success
",F9 B5,Success,92,92
93,KSC,Starlink,"15,600 kg",LEO,NRO,"Success
",F9 B5B1060.2,Success,93,93
94,KSC,Starlink,"15,600 kg",LEO,Türksat,"Success
",F9 B5B1058.3,Success,94,94
95,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.6,Success,95,95
96,CCAFS,Starlink,"15,600 kg",LEO,"Various
","Success
",F9 B5,Success,96,96
97,CCAFS,GPS III,"4,311 kg",MEO,SpaceX,"Success
",F9 B5,Success,97,97
98,KSC,Crew-1,"~12,500 kg",LEO,SpaceX,"Success
",F9 B5,Failure,98,98
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,SpaceX,"Success
",F9 B5,Success,99,99
100,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,100,100
101,KSC,SpaceX CRS-21,"2,972 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,101,101
102,CCSFS,SXM-7,"7,000 kg",GTO,SpaceX,"Success
",F9 B5 ♺,Success,102,102
103,KSC,NROL-108,C,LEO,SpaceX,"Success
",F9 B5 ♺,Success,103,103
104,CCSFS,Türksat 5A,"3,500 kg",GTO,NASA,"Success
",F9 B5,Success,104,104
105,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.8,Success,105,105
106,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,"Success
",F9 B5B1058.5,Success,106,106
107,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,107,107
108,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,108,108
109,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,109,109
110,CCSFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5 ♺,Success,110,110
111,KSC,Starlink,"15,600 kg",LEO,Sirius XM,"Success
",F9 B5 ♺,Success,111,111
112,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.6,Failure,112,112
113,CCSFS,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5 ♺,Failure,113,113
114,KSC,Crew-2,"~13,000 kg",LEO,NASA,Success,F9 B5B1061.2,"No attempt
",114,114
115,CCSFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5B1060.7,No attempt,115,115
116,KSC,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5B1049.9,"No attempt
",116,116
117,CCSFS,Starlink,"15,600 kg",LEO,MDA,Success,F9 B5B1051.10,Uncontrolled,117,117
118,KSC,Starlink,"~14,000 kg",LEO,SES,Success,F9 B5B1058.8,No attempt,118,118
119,CCSFS,Starlink,"15,600 kg",LEO,Thaicom,Success,F9 B5B1063.2,No attempt,119,119
120,KSC,SpaceX CRS-22,"3,328 kg",LEO,NASA,"Success
",F9 B5B1067.1,Controlled,120,120
121,CCSFS,SXM-8,"7,000 kg",GTO,Orbcomm,Success,F9 B5,Controlled,121,121
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,AsiaSat,Success,F9 v1.0B0003.1,No attempt,4 June 2010,18:45
2,CCAFS,Dragon,0,LEO,AsiaSat,Success,F9 v1.0B0004.1,"No attempt
",8 December 2010,15:43
3,CCAFS,Dragon,525 kg,LEO,NASA,Success,F9 v1.0B0005.1,Uncontrolled,22 May 2012,07:44
4,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,Success,F9 v1.0B0006.1,Failure ,8 October 2012,00:35
5,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,USAF,"Success
",F9 v1.0B0007.1,Controlled,1 March 2013,15:10
6,VAFB,CASSIOPE,500 kg,Polar orbit,ABS,"Success
",F9 v1.1B1003,No attempt,29 September 2013,16:00
7,CCAFS,SES-8,"3,170 kg",GTO,NASA,"Success
",F9 v1.1,Failure,3 December 2013,22:41
8,CCAFS,Thaicom 6,"3,325 kg",GTO,,"Success
",F9 v1.1,No attempt,6 January 2014,22:06
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,Failure,F9 v1.1,Precluded,18 April 2014,19:25
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,"Success
",F9 v1.1,Success,14 July 2014,15:15
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,NASA,"Success
",F9 v1.1,Failure,5 August 2014,08:00
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,SES,"Success
",F9 v1.1,Failure,7 September 2014,05:00
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,F9 v1.1,Success,21 September 2014,05:52
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,SKY Perfect JSAT Group,"Success
",F9 v1.1,Success,10 January 2015,09:47
15,Cape Canaveral,DSCOVR,570 kg,HEO,Thaicom,"Success
",F9 v1.1,Success,11 February 2015,23:03
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",F9 v1.1,Failure,2 March 2015,03:50
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",F9 v1.1,Success,14 April 2015,20:10
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 v1.1,Success,27 April 2015,23:03
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,Iridium Communications,"Success
",F9 v1.1,Success,28 June 2015,14:21
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,NASA,"Success
",F9 FT,Success,22 December 2015,01:29
21,VAFB,Jason-3,553 kg,LEO,EchoStar,"Success
",F9 v1.1,No attempt,17 January 2016,18:42
22,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,Success,F9 FT,Success,4 March 2016,23:35
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NRO,"Success
",F9 FT,Success,8 April 2016,20:43
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,Inmarsat,"Success
",F9 FT,No attempt,6 May 2016,05:21
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,NASA,"Success
",F9 FT,Success,27 May 2016,21:39
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,Bulsatcom,"Success
",F9 FT,Success,15 June 2016,14:29
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,Iridium Communications,"Success
",F9 FT,Success,18 July 2016,04:45
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,Intelsat,"Success
",F9 FT,No attempt,14 August 2016,05:26
29,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",F9 FT,Success,14 January 2017,17:54
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,NSPO,"Success
",F9 FT,Success,19 February 2017,14:39
31,KSC,EchoStar 23,"5,600 kg",GTO,USAF,"Success
",F9 FT,Success,16 March 2017,06:00
32,KSC,SES-10,"5,300 kg",GTO,Iridium Communications,"Success
",F9 FT♺,Success,30 March 2017,22:27
33,KSC,NROL-76,C,LEO,SES S.A.,"Success
",F9 FT,Success,1 May 2017,11:15
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,KT Corporation,"Success
",F9 FT,Success,15 May 2017,23:21
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",F9 FT,Success,3 June 2017,21:07
36,KSC,BulgariaSat-1,"3,669 kg",GTO,Iridium Communications,Success,F9 FTB1029.2,Controlled,23 June 2017,19:10
37,VAFB,Iridium NEXT,"9,600 kg",LEO,Northrop Grumman,Success,F9 FT,Success,25 June 2017,20:25
38,KSC,Intelsat 35e,"6,761 kg",GTO,SES,Success,F9 FT,Controlled,5 July 2017,23:38
39,KSC,SpaceX CRS-12,"3,310 kg",LEO,Hisdesat,Success,F9 B4,No attempt,14 August 2017,16:31
40,VAFB,Formosat-5,475 kg,SSO,Hispasat,Success,F9 FT,No attempt,24 August 2017,18:51
41,KSC,Boeing X-37B,"4,990 kg",LEO,Iridium Communications,Success,F9 B4,No attempt,7 September 2017,14:00
42,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,Success,F9 B4,No attempt,9 October 2017,12:37
43,KSC,SES-11,"5,200 kg",GTO,NASA,Success,F9 FTB1031.2,Success,11 October 2017,22:53:00
44,KSC,Koreasat 5A,"3,500 kg",GTO,Thales-Alenia,Success,F9 B4,Success,30 October 2017,19:34
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,Iridium Communications,Success,F9 FTB1035.2,No attempt,15 December 2017,15:36
46,VAFB,Iridium NEXT,"9,600 kg",Polar,SES,Success,F9 FTB1036.2,No attempt,23 December 2017,01:27
47,CCAFS,Zuma,C,LEO,NASA,Success,F9 B4,No attempt,8 January 2018,01:00
48,CCAFS,GovSat-1,"4,230 kg",GTO,Telesat,Success,F9 FTB1032.2,Success,31 January 2018,21:25
49,VAFB,Paz,"2,150 kg",SSO,Iridium Communications,Success,F9 FTB1038.2,Success,22 February 2018,14:17
50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Telkom Indonesia,Success,F9 B4,Success,6 March 2018,05:33
51,VAFB,Iridium NEXT,"9,600 kg",Polar,Telesat,Success,F9 B4B1041.2,Success,30 March 2018,14:14
52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,CONAE,Success,F9 B4B1039.2,Success,2 April 2018,20:30
53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,Es'hailSat,Success,F9 B4,Success,18 April 2018,22:51
54,KSC,Bangabandhu-1,"3,600 kg",GTO,Spaceflight Industries,Success,F9 B5B1046.1,Success,11 May 2018,20:14
55,VAFB,Iridium NEXT,"6,460 kg",Polar,NASA,"Success
",F9 B4B1043.2,Failure,22 May 2018,19:47
56,CCAFS,SES-12,"5,384 kg",GTO,USAF,Success,F9 B4B1040.2,No attempt,4 June 2018,04:45
57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,Iridium Communications,"Success
",F9 B4B1045.2,Success,29 June 2018,09:42
58,CCAFS,Telstar 19V,"7,075 kg",GTO,PSN,"Success
",F9 B5,Success,22 July 2018,05:50
59,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",F9 B5B1048,Success,25 July 2018,11:39
60,CCAFS,Merah Putih,"5,800 kg",GTO,NASA,"Success
",F9 B5B1046.2,Success,7 August 2018,05:18
61,CCAFS,Telstar 18V,"7,060 kg",GTO,SpaceX,"Success
",F9 B5,Success,10 September 2018,04:45
62,VAFB,SAOCOM 1A,"3,000 kg",SSO,Canadian Space Agency,"Success
",F9 B5B1048.2,Success,8 October 2018,02:22
63,KSC,Es'hail 2,"5,300 kg",GTO,NASA,"Success
",F9 B5B1047.2,Success,15 November 2018,20:46
64,VAFB,SSO-A,"~4,000 kg",SSO,Spacecom,"Success
",F9 B5B1046.3,No attempt,3 December 2018,18:34:05
65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,SpaceX,"Success
",F9 B5,Success,5 December 2018,18:16
66,CCAFS,GPS III,"4,400 kg",MEO,NASA,"Success
",F9 B5,Success,23 December 2018,13:51
67,VAFB,Iridium NEXT,"9,600 kg",Polar,Sky Perfect JSAT,"Success
",F9 B5B1049.2,Success,11 January 2019,15:31
68,CCAFS,Nusantara Satu,"4,850 kg",GTO,SpaceX,"Success
",F9 B5B1048.3,Success,22 February 2019,01:45
69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",F9 B5[268],"No attempt
",2 March 2019,07:49
70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,SpaceX,"Success
",F9 B5,Success,4 May 2019,06:48
71,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
",F9 B5B1049.3,Failure,24 May 2019,02:30
72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,NASA,"Success
",F9 B5B1051.2,Success,12 June 2019,14:17
73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,SpaceX,"Success
",F9 B5B1056.2,Failure,25 July 2019,22:01
74,CCAFS,AMOS-17,"6,500 kg",GTO,SpaceX,"Success
",F9 B5B1047.3,Success,6 August 2019,23:23
75,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,Success,11 November 2019,14:56
76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,SpaceX,"Success
",F9 B5,Success,5 December 2019,17:29
77,CCAFS,JCSat-18,"6,956 kg",GTO,SpaceX,"Success
",F9 B5B1056.3,Success,17 December 2019,00:10
78,CCAFS,Starlink,"15,600 kg",LEO,U.S. Space Force,"Success
",F9 B5,Success,7 January 2020,02:19:21
79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,Republic of Korea Army,"Success
",F9 B5,Success,19 January 2020,15:30
80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,29 January 2020,14:07
81,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,17 February 2020,15:05
82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,CONAE,"Success
",F9 B5,Success,7 March 2020,04:50
83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,18 March 2020,12:16
84,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,22 April 2020,19:30
85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,SpaceX,"Success
",F9 B5,Success,30 May 2020,19:22
